State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Wind,Other Renewables,Other Fossil,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Wind_prop,Other Renewables_prop,Other Fossil_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita,panel_utilization,carbon_offset_kg_per_panel,carbon_offset_kg,black_population,black_prop,white_population,white_prop,asian_population,asian_prop,hispanic_population,hispanic_prop,native_population,native_prop,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)","Adjusted Payback Period (Years, under energy generation assumptions)",State-level Incentives,Numeric state-level upfront incentive,Notes,estimated_install_count,Residential_cap_24,Residential_cap_25,Residential_gen_24,Residential_gen_25,Commercial_cap_24,Commercial_cap_25,Commercial_gen_24,Commercial_gen_25,Industrial_cap_24,Industrial_cap_25,Industrial_gen_24,Industrial_gen_25,Total_cap_24,Total_cap_25,Total_gen_24,Total_gen_25,Residential_cap_prop_24,Residential_gen_prop_24,Residential_cap_prop_25,Residential_gen_prop_25,Residential_added_cap,Residential_added_gen,prop_cap_added,energy_ratio_by_income_bracket,energy_burden_by_income_bracket
Hawaii,HI,3163.49,277.06,647.76,0,7561.48,1881.69,110.08,0,625.42,269.24,6913.72,10724.97,0.294964928,0.025833172,0.060397372,0,0.705035072,0.175449442,0.010263898,0,0.058314382,0.025104033,0.644637701,1,366130,196864,579784,0.631493798,0.339547142,38846.93103,13182.65517,101047.2759,46208,3293.689655,1268.434483,874.7241379,159327.8031,0.228378726,3.947053419,0.022058914,0.001209403,228.3787259,159327803.1,24141,9.52E-05,234755,0.000925694,478604,0.001887247,114452,0.000451311,2421,9.55E-06,7250,5,"35% state tax credit (up to $5,000)",5000,No net metering; exports not compensated,1483.474334,577.188,624.97,77583.216,72041.429,288.415,295.027,37145.104,38140.034,2.234,2.234,302.922,302.922,867.837,922.231,115031.24,110484.39,0.017589741,0.023687543,0.017006937,0.019550478,47.782,-5541.787,0.012145762,"{'1000-9999': 1.6014309272273912, '10000-14999': 1.3492332445386106, '15000-19999': 1.3282508943714906, '20000-24999': 1.3282508943714906, '25000-29999': 1.1121037217083887, '30000-34999': 1.106932018879988, '35000-39999': 1.1221327856885321, '40000-44999': 1.1244085139582989, '45000-49999': 1.0354516637972264, '50000-59999': 1.032039602608456, '60000-74999': 0.9452322038901112, '75000-99999': 0.9439080422858135, '100000-124999': 0.8651127470392567, '125000-149999': 0.8703124375573836, '150000-199999': 0.7824590034152759, '200000-10000000': 0.7791429670676566}","{'1000-9999': 0.5442760036365772, '10000-14999': 0.21256513620849143, '15000-19999': 0.15439924668765265, '20000-24999': 0.15439924668765265, '25000-29999': 0.1460703624939187, '30000-34999': 0.11743116090897443, '35000-39999': 0.10075592641130143, '40000-44999': 0.08591816297303044, '45000-49999': 0.08236328725759463, '50000-59999': 0.0643245510362399, '60000-74999': 0.05683024566578728, '75000-99999': 0.04440345790849288, '100000-124999': 0.037367416744138425, '125000-149999': 0.030357655351810002, '150000-199999': 0.02673887420533137, '200000-10000000': 0.0018368375125524335}"
Idaho,ID,12089.06,460.4,6.27,4335.01,4391.84,711.94,8359.74,0,2441.69,115.29,50.56,16480.9,0.733519407,0.027935368,0.00038044,0.263032359,0.266480593,0.043197884,0.507238076,0,0.14815271,0.00699537,0.003067794,1,287021,554119,868014,0.330664022,0.638375648,29950.775,11097.775,75235.225,37966.725,2894.9,1121.902736,13.2,49826.43828,0.086406847,1.504983278,0.000409935,2.36E-05,86.40684673,49826438.28,10049,3.96E-05,1017555,0.004012456,20370,8.03E-05,147698,0.000582408,11249,4.44E-05,12250,20,No state-level incentive,0,"Net billing; exports credited at new tariff (~6/kWh), 40% of cost of system can be deducted from state income tax",634.5826398,135.112,154.76,10036.145,11507.58,148.861,170.225,10998.466,12593.353,11.757,12.504,875.019,931.056,295.73,337.489,21909.63,25031.99,0.004117523,0.003064215,0.004211392,0.003122907,19.648,1471.435,0.004994348,"{'1000-9999': 1.173988801982973, '10000-14999': 1.200890474494034, '15000-19999': 1.182940733684418, '20000-24999': 1.182940733684418, '25000-29999': 0.9867642789065184, '30000-34999': 0.9845059312511852, '35000-39999': 0.9895839923023381, '40000-44999': 1.0027230229140092, '45000-49999': 0.9132483596372268, '50000-59999': 0.9117237170139895, '60000-74999': 0.8369890970403266, '75000-99999': 0.8375202875530745, '100000-124999': 0.7680108117903257, '125000-149999': 0.769342622838626, '150000-199999': 0.6952862289800865, '200000-10000000': 0.696370525509704}","{'1000-9999': 0.19323492474563903, '10000-14999': 0.05131282561215137, '15000-19999': 0.03785515532820516, '20000-24999': 0.03785515532820516, '25000-29999': 0.0352830128133643, '30000-34999': 0.028935490158765613, '35000-39999': 0.024319932744325028, '40000-44999': 0.020402355547617757, '45000-49999': 0.019916404599935007, '50000-59999': 0.015359809101960007, '60000-74999': 0.013762477242956712, '75000-99999': 0.010580247435374304, '100000-124999': 0.009049042604062797, '125000-149999': 0.007386078139080694, '150000-199999': 0.0063471157392428895, '200000-10000000': 0.0004275082864624654}"
Illinois,IL,125565.9,282.71,40559.22,19789.29,60913.63,2794.94,115.24,98869.58,23493.8,9.63,565.12,186479.53,0.673349509,0.001516038,0.217499583,0.106120441,0.326650491,0.014987919,0.000617977,0.530189989,0.125985946,5.16E-05,0.003030467,1,3471915,2446891,6033743,0.575416454,0.405534508,24082.60382,9305.391408,89240.49165,45921.91647,2785.923628,985.9711961,5.830548926,92246.64928,0.236588697,4.261592091,0.000300092,2.26E-05,236.5886971,92246649.28,1673894,0.006600554,6032720,0.023788419,690717,0.002723658,2125886,0.008382863,50912,0.000200758,12250,10,No state-level incentive,0,Net metering capped; exports credited at supply rate (~50% retail),2834.707556,131.102,150.924,8856.42,10124.341,8.978,10.351,601.971,691.812,17.506,18.499,1222.788,1283.96,157.586,179.774,10681.18,12100.11,0.003995319,0.002704023,0.004107005,0.002747526,19.822,1267.921,0.005038577,"{'1000-9999': 0.8380545423098247, '10000-14999': 0.8722099045286092, '15000-19999': 0.877668720504091, '20000-24999': 0.877668720504091, '25000-29999': 0.7626588638048571, '30000-34999': 0.7648577392350642, '35000-39999': 0.7721624063847857, '40000-44999': 0.7601487370012056, '45000-49999': 0.752138991127025, '50000-59999': 0.7490419489046869, '60000-74999': 0.6489204966281655, '75000-99999': 0.6480914657575224, '100000-124999': 0.5731679509496627, '125000-149999': 0.5718314125500261, '150000-199999': 0.474801785464167, '200000-10000000': 0.478377745249236}","{'1000-9999': 0.31352380147470577, '10000-14999': 0.09687971693915806, '15000-19999': 0.06944980702443389, '20000-24999': 0.06944980702443389, '25000-29999': 0.06211994893530732, '30000-34999': 0.048502290259198055, '35000-39999': 0.04081420682454219, '40000-44999': 0.035684523259809676, '45000-49999': 0.0315759470840082, '50000-59999': 0.02513270628302505, '60000-74999': 0.023729739712487295, '75000-99999': 0.017942895004203166, '100000-124999': 0.01582335084763668, '125000-149999': 0.01300791606960575, '150000-199999': 0.012291438639214931, '200000-10000000': 0.0007808588224837307}"
Indiana,IN,12152.47,385.91,51384.11,32120.9,86230.68,1363.37,370.83,0,9985.21,47.15,2725.67,98383.15,0.123521863,0.003922521,0.522285676,0.326487818,0.876478137,0.013857759,0.003769243,0,0.101493091,0.000479249,0.027704643,1,1242416,1729519,3033118,0.409616771,0.570211578,20410.64545,8092.059091,70798.07727,36590.76364,2552.427273,978.9038412,4.463636364,100553.5463,0.23737207,4.591048036,0.00020309,1.31E-05,237.3720703,100553546.3,603183,0.002378491,3326011,0.013115235,152925,0.000603019,382640,0.001508839,8774,3.46E-05,12250,20,No state-level incentive,0,Net metering phased out; exports at ~wholesale (~4-5/kWh),1392.751711,622.938,891.571,35144.597,60497.571,545.678,632.991,40401.766,47544.45,9.389,9.523,678.821,688.495,1178.01,1534.09,76225.18,108730.52,0.018983968,0.010730274,0.024261791,0.016417726,268.633,25352.974,0.068284136,"{'1000-9999': 0.8349840583113093, '10000-14999': 0.877558244454777, '15000-19999': 0.8882148216591211, '20000-24999': 0.8882148216591211, '25000-29999': 0.7630391684568266, '30000-34999': 0.7679578436995987, '35000-39999': 0.7664733989879293, '40000-44999': 0.7660030190640806, '45000-49999': 0.7480171012026956, '50000-59999': 0.7489713938245742, '60000-74999': 0.6460425940875717, '75000-99999': 0.6469392112473057, '100000-124999': 0.5707697732190489, '125000-149999': 0.5764352021106147, '150000-199999': 0.4744423085914168, '200000-10000000': 0.4781310375990196}","{'1000-9999': 0.33323029414836164, '10000-14999': 0.08934324754168274, '15000-19999': 0.062331582410784354, '20000-24999': 0.062331582410784354, '25000-29999': 0.05587531358139225, '30000-34999': 0.045387862798119155, '35000-39999': 0.0384301346820071, '40000-44999': 0.03332403644878131, '45000-49999': 0.030170953635768806, '50000-59999': 0.023358115770579658, '60000-74999': 0.021933549433524515, '75000-99999': 0.01686498655618412, '100000-124999': 0.01464136261910271, '125000-149999': 0.012164547279956717, '150000-199999': 0.011658072928309657, '200000-10000000': 0.0010200936297256242}"
Iowa,IA,47801.34,220.14,18172.13,7339.04,25593.03,693.46,1009.83,0,45761.37,116.54,81.86,73394.37,0.65129437,0.002999413,0.247595694,0.099994591,0.34870563,0.009448409,0.013758957,0,0.623499732,0.00158786,0.001115344,1,759061,897672,1700130,0.446472329,0.528001976,15705.34694,6360.806122,81925.56122,41157.53061,1865.397959,1010.296367,2.520408163,45256.11672,0.14876136,4.910955246,0.000167065,8.93E-06,148.7613599,45256116.72,97172,0.000383172,1257107,0.004957065,61674,0.000243195,112765,0.000444659,4957,1.95E-05,12250,13,No state-level incentive,0,Net metering; full retail credit,686.3926497,100.437,112.219,7593.243,8517.247,130.601,148.888,9305.575,10691.359,10.205,14.956,704.834,1050.382,241.243,276.063,17603.65,20258.99,0.003060807,0.002318353,0.003053749,0.002311396,11.782,924.004,0.00299488,"{'1000-9999': 0.8653526079791424, '10000-14999': 0.907441555384169, '15000-19999': 0.9186427634267323, '20000-24999': 0.9186427634267323, '25000-29999': 0.7917747801313293, '30000-34999': 0.7904653072370404, '35000-39999': 0.7922850763771697, '40000-44999': 0.7875668524197795, '45000-49999': 0.777194101527483, '50000-59999': 0.7730994027342262, '60000-74999': 0.6682347728199279, '75000-99999': 0.6691979434619485, '100000-124999': 0.5913488783273014, '125000-149999': 0.5878182779968902, '150000-199999': 0.4899827282307575, '200000-10000000': 0.49250435651228985}","{'1000-9999': 0.259185023673735, '10000-14999': 0.0756827904833748, '15000-19999': 0.05517500237293667, '20000-24999': 0.05517500237293667, '25000-29999': 0.04984221303894855, '30000-34999': 0.04058004717355914, '35000-39999': 0.03414272147094486, '40000-44999': 0.030197373420513613, '45000-49999': 0.026709496920791043, '50000-59999': 0.020874288990124754, '60000-74999': 0.019886426707230388, '75000-99999': 0.0150498949367034, '100000-124999': 0.013184718325265495, '125000-149999': 0.010991735881699431, '150000-199999': 0.01039387119061673, '200000-10000000': 0.0006513778201846246}"
Kansas,KS,38915.22,60.84,20229.36,3362.56,23369.2,161.27,23.67,8981.96,29687.48,0,-222.72,62284.42,0.624798625,0.000976809,0.324790052,0.053987177,0.375201375,0.002589251,0.000380031,0.144208776,0.476643758,0,-0.003575854,1,570323,771406,1372303,0.415595535,0.562125128,14936.24107,5896.785714,83663.53571,43519.36607,1658.25,1100.518907,6.535714286,71784.19683,0.222893987,5.640407498,0.000400579,2.23E-05,222.8939871,71784196.83,128402,0.000506319,1259561,0.004966742,75392,0.000297288,219238,0.000864506,11675,4.60E-05,12250,10,No state-level incentive,0,Net metering; full retail credit,146.5399631,61.911,74.782,6771.063,8151.698,26.624,33.744,2870.856,3643.945,1.94,0,210.779,0,90.475,111.705,9852.7,12139.89,0.001886731,0.002067327,0.002034998,0.002212194,12.871,1380.635,0.003271695,"{'1000-9999': 0.9471065930222674, '10000-14999': 0.9983611403637838, '15000-19999': 1.0165218248408574, '20000-24999': 1.0165218248408574, '25000-29999': 0.8576784639353542, '30000-34999': 0.8590829468418598, '35000-39999': 0.8620487650665158, '40000-44999': 0.8594746759674683, '45000-49999': 0.8441181197409954, '50000-59999': 0.8405555947864705, '60000-74999': 0.7277556672346586, '75000-99999': 0.7306640351640127, '100000-124999': 0.6445924085237383, '125000-149999': 0.6419466348065422, '150000-199999': 0.534559570818821, '200000-10000000': 0.5333434980005485}","{'1000-9999': 0.27848133286184457, '10000-14999': 0.08848779835319893, '15000-19999': 0.05963908333076574, '20000-24999': 0.05963908333076574, '25000-29999': 0.053651748048774636, '30000-34999': 0.04400993990802936, '35000-39999': 0.03673952879056288, '40000-44999': 0.03160629291608756, '45000-49999': 0.02859855036622365, '50000-59999': 0.02210018000712714, '60000-74999': 0.021215386070427514, '75000-99999': 0.016338521597971094, '100000-124999': 0.014105720260464569, '125000-149999': 0.011537458336937886, '150000-199999': 0.011223277186558028, '200000-10000000': 0.0007236259411958307}"
Kentucky,KY,5125.3,447.57,47053.33,16917.63,64105.26,147.9,4529.83,0,0,0,134.3,69230.56,0.074032335,0.00646492,0.679661265,0.244366505,0.925967665,0.00213634,0.065431076,0,0,0,0.001939895,1,772474,1326646,2136768,0.361515148,0.620865719,20819.93578,8389.201835,74126.62385,40479.00917,2725.422018,1003.032397,6.642201835,100310.7512,0.229711281,5.903711446,0.000326257,1.60E-05,229.7112811,100310751.2,279063,0.00110041,1775053,0.006999447,57184,0.00022549,119373,0.000470716,3006,1.19E-05,12250,22,No state-level incentive,0,Net metering with adjusted PSC-set credit (~retail),147.4528643,71.345,81.486,6028.981,6886.133,22.411,26.653,1932.068,2291.762,1.356,2.702,115.761,230.182,95.112,110.841,8076.81,9408.08,0.002174231,0.001840756,0.00221743,0.001868747,10.141,857.152,0.002577753,"{'1000-9999': 0.6417150204070126, '10000-14999': 0.6078213526936991, '15000-19999': 0.6022831145675699, '20000-24999': 0.6022831145675699, '25000-29999': 0.5602103072590515, '30000-34999': 0.5586015753744851, '35000-39999': 0.5610630218914106, '40000-44999': 0.5606073754157238, '45000-49999': 0.5242844813815796, '50000-59999': 0.5241271304513915, '60000-74999': 0.48822054917817276, '75000-99999': 0.4879788960934398, '100000-124999': 0.4320507113322426, '125000-149999': 0.43229721732597404, '150000-199999': 0.36509692314620107, '200000-10000000': 0.36543990555630734}","{'1000-9999': 0.3366562319116037, '10000-14999': 0.11647213829072553, '15000-19999': 0.0820759954088134, '20000-24999': 0.0820759954088134, '25000-29999': 0.06892611281305737, '30000-34999': 0.05655299939163235, '35000-39999': 0.04733186883334051, '40000-44999': 0.04089062931869141, '45000-49999': 0.038752360775238706, '50000-59999': 0.02961278032205162, '60000-74999': 0.02647496336518121, '75000-99999': 0.02017340158256202, '100000-124999': 0.01768569255681451, '125000-149999': 0.014362221814404417, '150000-199999': 0.013789297090578145, '200000-10000000': 0.0012221403488684552}"
Louisiana,LA,19705.65,2076.68,8172.86,72275.01,83061.29,468.4,916.07,16164.72,0,79.78,2613.42,102766.94,0.191750869,0.020207666,0.079528105,0.703290475,0.808249131,0.004557886,0.008914053,0.157294943,0,0.00077632,0.025430552,1,856034,1255776,2148062,0.398514568,0.584608824,19524.14286,7533.484472,61903.6646,33978.80745,3470.298137,1083.456748,51.03726708,99731.15549,0.201017662,4.871272236,0.00227954,8.11E-05,201.017662,99731155.49,1094442,0.004315639,1743268,0.006874111,68470,0.000269993,194734,0.000767881,13343,5.26E-05,12250,21,No state-level incentive,0,Net metering ended; exports at avoided cost (~3/kWh),432.3199805,173.381,194.045,18678.65,20881.097,14.769,14.639,1587.692,1581.07,0.086,0.106,9.154,11.307,188.236,208.79,20275.5,22473.47,0.005283767,0.005702926,0.005280431,0.005666676,20.664,2202.447,0.005252606,"{'1000-9999': 0.7078811174991702, '10000-14999': 0.657412168545256, '15000-19999': 0.658688996938175, '20000-24999': 0.658688996938175, '25000-29999': 0.6052983262859614, '30000-34999': 0.6065223485147796, '35000-39999': 0.6045183671282204, '40000-44999': 0.6064959949683649, '45000-49999': 0.5691498061325145, '50000-59999': 0.5666622589631867, '60000-74999': 0.5291741664028027, '75000-99999': 0.5282891485885578, '100000-124999': 0.46842835936903876, '125000-149999': 0.469707426572252, '150000-199999': 0.3959989088168999, '200000-10000000': 0.3962321652255891}","{'1000-9999': 0.3270825782588544, '10000-14999': 0.11763951240820017, '15000-19999': 0.08084799340303157, '20000-24999': 0.08084799340303157, '25000-29999': 0.06894095617455848, '30000-34999': 0.055789010916754665, '35000-39999': 0.047321872502746325, '40000-44999': 0.04130944944643168, '45000-49999': 0.038265201737591716, '50000-59999': 0.030019573698576066, '60000-74999': 0.026093616777627112, '75000-99999': 0.02034842153709434, '100000-124999': 0.017737031872551413, '125000-149999': 0.014597557156232562, '150000-199999': 0.013477899427693191, '200000-10000000': 0.000955985543256508}"
Maine,ME,8369.63,1812.66,42.44,4142.68,4739.85,768.04,3063.33,0,2716.38,9.22,554.73,13109.48,0.638441037,0.138270931,0.003237352,0.316006432,0.361558963,0.058586611,0.233672884,0,0.207207303,0.000703308,0.04231518,1,435072,360737,828305,0.525255793,0.435512281,10253.74545,4397.836364,80609.50909,45152.03636,973.0363636,978.0719804,6.527272727,17174.8859,0.121808483,1.210530385,0.0008024,5.79E-05,121.8084825,17174885.9,16762,6.61E-05,507396,0.00200078,9083,3.58E-05,12790,5.04E-05,1727,6.81E-06,12250,7,No state-level incentive,0,Net metering; full retail credit,785.2591787,1207.528,1366.479,73602.393,91880.036,1368.369,1550.701,122787.105,141441.222,91.539,52.494,8461.589,4869.259,2667.44,2969.67,204851.09,238190.52,0.036799284,0.022472127,0.03718518,0.024934245,158.951,18277.643,0.04040394,"{'1000-9999': 1.0477893850923068, '10000-14999': 1.0901226483098236, '15000-19999': 1.0930969667705341, '20000-24999': 1.0930969667705341, '25000-29999': 0.9967600469443479, '30000-34999': 1.001259303588081, '35000-39999': 1.0100794382933362, '40000-44999': 1.003956144562105, '45000-49999': 0.929262320604451, '50000-59999': 0.9278220996363654, '60000-74999': 0.8015271962046284, '75000-99999': 0.800767335179837, '100000-124999': 0.7307346524496098, '125000-149999': 0.7273241058990599, '150000-199999': 0.6280899663347735, '200000-10000000': 0.6291142073651371}","{'1000-9999': 0.3934956531276412, '10000-14999': 0.10684775026195098, '15000-19999': 0.07704514188756306, '20000-24999': 0.07704514188756306, '25000-29999': 0.06459525215051325, '30000-34999': 0.05266247568827532, '35000-39999': 0.04454252180894599, '40000-44999': 0.039102176526755364, '45000-49999': 0.03743842587904406, '50000-59999': 0.028777633577505856, '60000-74999': 0.027100837137887124, '75000-99999': 0.0210780231469445, '100000-124999': 0.01789528254999482, '125000-149999': 0.014650444696637559, '150000-199999': 0.013235885064130518, '200000-10000000': 0.0006636850352535184}"
Maryland,MD,19396.81,312.47,4639.31,13949.64,19025.38,1996.37,1779.68,14810.68,497.61,0,436.43,38422.19,0.504833535,0.00813254,0.12074559,0.363062074,0.495166465,0.051958777,0.046319067,0.385472041,0.01295111,0,0.011358801,1,1985023,976414,3037030,0.653606649,0.321502916,26404.03333,10042.73333,105721.84,51371.37333,2688.966667,1031.608286,40.42,61793.08357,0.195397727,2.883206954,0.001395794,0.000154418,195.397727,61793083.57,1369988,0.005402181,1726331,0.006807325,318478,0.001255833,492984,0.001943951,12477,4.92E-05,11250,8,No state-level incentive,0,Net metering; full retail credit,1935.201594,832.951,910.666,52630.826,63015.829,201.895,215.565,17911.153,19696.806,19.867,20.009,1890.698,1911.025,1054.71,1146.24,72432.68,84623.66,0.025384091,0.016069132,0.024781412,0.017101127,77.715,10385.003,0.019754467,"{'1000-9999': 0.6625130645097934, '10000-14999': 0.6260915410491756, '15000-19999': 0.6229746053686465, '20000-24999': 0.6229746053686465, '25000-29999': 0.5783794193971685, '30000-34999': 0.5737618977559509, '35000-39999': 0.5768394614530915, '40000-44999': 0.575576866287692, '45000-49999': 0.5365505349186795, '50000-59999': 0.5392972347027766, '60000-74999': 0.5016174922976795, '75000-99999': 0.5013986678398484, '100000-124999': 0.44405831441294547, '125000-149999': 0.4464160767476642, '150000-199999': 0.3750019443743354, '200000-10000000': 0.37504205564639065}","{'1000-9999': 0.40476590264098133, '10000-14999': 0.1276270009127818, '15000-19999': 0.09015221479645533, '20000-24999': 0.09015221479645533, '25000-29999': 0.07755509803138638, '30000-34999': 0.06319277198460088, '35000-39999': 0.05300957531309565, '40000-44999': 0.04538429336166842, '45000-49999': 0.043321353454959834, '50000-59999': 0.033886033553079384, '60000-74999': 0.029506023335151097, '75000-99999': 0.02277338144306401, '100000-124999': 0.019703451914286203, '125000-149999': 0.01605273756294031, '150000-199999': 0.015334945219781888, '200000-10000000': 0.0012791797241334156}"
Massachusetts,MA,7008.71,936.9,0,15775.97,17461.83,5353.15,477.57,0,215.68,25.41,1685.86,24470.54,0.286414194,0.038286854,0,0.644692353,0.713585806,0.218758965,0.01951612,0,0.008813864,0.001038391,0.068893453,1,2382202,1167202,3658005,0.651229837,0.319081576,18623.96497,7268.805732,114003.1624,58076.05414,1879.687898,974.7447821,48.87579618,26695.89007,0.121852684,1.48587616,0.002593634,0.000256914,121.8526839,26695890.07,476407,0.001878584,4084687,0.016106871,452244,0.001783303,822523,0.0032434,12279,4.84E-05,12250,6,"$1,000 state tax credit",1000,Net metering; full retail credit,5491.847813,87.636,124.294,8178.028,11097.517,496.442,739.618,46339.57,68808.183,0.026,0.026,2.48,2.48,584.104,863.938,54520.08,79908.18,0.002670698,0.002496898,0.003382339,0.003011625,36.658,2919.489,0.00931814,"{'1000-9999': 1.0162154390925082, '10000-14999': 1.101525256161106, '15000-19999': 1.0910100353363452, '20000-24999': 1.0910100353363452, '25000-29999': 1.0026728578816733, '30000-34999': 0.9869686227036859, '35000-39999': 0.9941193360360158, '40000-44999': 0.983802164701359, '45000-49999': 0.9210667092600242, '50000-59999': 0.9096599697553922, '60000-74999': 0.7923972631621918, '75000-99999': 0.7939695808720144, '100000-124999': 0.722402994891632, '125000-149999': 0.7257579740367476, '150000-199999': 0.6222084980294028, '200000-10000000': 0.6205895097648705}","{'1000-9999': 0.42084793028425355, '10000-14999': 0.12498189226581191, '15000-19999': 0.09050918981500113, '20000-24999': 0.09050918981500113, '25000-29999': 0.07430206888143932, '30000-34999': 0.06254756046294402, '35000-39999': 0.05270368724676206, '40000-44999': 0.04553254237792766, '45000-49999': 0.04303150630569435, '50000-59999': 0.033525063581643616, '60000-74999': 0.03153298869162264, '75000-99999': 0.024347583205377926, '100000-124999': 0.020586508879981553, '125000-149999': 0.01697232531613932, '150000-199999': 0.01589747670339666, '200000-10000000': 0.0010683965534189718}"
Michigan,MI,39071.93,2257.93,34482.19,41183.79,77248.46,1105.07,517.79,26013.36,9151.18,26.6,1582.48,116320.39,0.335899235,0.0194113,0.296441492,0.354054779,0.664100765,0.009500226,0.004451412,0.223635426,0.078672192,0.000228679,0.013604494,1,2804040,2649852,5539302,0.506208183,0.478372907,21554.13913,8597.081159,76623.53043,40060.45217,2849.704348,944.8083862,4.976811594,92689.78889,0.216645687,4.208454208,0.000221797,1.15E-05,216.6456875,92689788.89,1300969,0.005130023,5242573,0.020672685,309583,0.001220758,444652,0.001753366,22661,8.94E-05,12250,14,No state-level incentive,0,Net billing; export credit at ~50% of retail,1169.623403,145.222,165.574,9103.353,10359.903,79.885,103.73,4946.362,6438.965,4.767,5.327,243.047,277.515,229.874,274.631,14292.76,17076.38,0.004425625,0.002779416,0.004505667,0.002811453,20.352,1256.55,0.005173299,"{'1000-9999': 0.8067019309390534, '10000-14999': 0.8614647920218813, '15000-19999': 0.8639693681910083, '20000-24999': 0.8639693681910083, '25000-29999': 0.7378097361322248, '30000-34999': 0.7392440578458099, '35000-39999': 0.7445800488471954, '40000-44999': 0.7429718418803883, '45000-49999': 0.718592573240549, '50000-59999': 0.7230795969867932, '60000-74999': 0.6229190011765964, '75000-99999': 0.6241194454401119, '100000-124999': 0.5480695827980118, '125000-149999': 0.553790330304043, '150000-199999': 0.45855711465234084, '200000-10000000': 0.4604685224456183}","{'1000-9999': 0.378198726901811, '10000-14999': 0.10399942790844441, '15000-19999': 0.07255059104884866, '20000-24999': 0.07255059104884866, '25000-29999': 0.0683611821357384, '30000-34999': 0.054425364152464496, '35000-39999': 0.0466244931991673, '40000-44999': 0.04068191787756127, '45000-49999': 0.036652714774849236, '50000-59999': 0.028023209283352078, '60000-74999': 0.026853190498667776, '75000-99999': 0.02067785931622073, '100000-124999': 0.01814272076942597, '125000-149999': 0.014852718335112376, '150000-199999': 0.013992576562637339, '200000-10000000': 0.000999969681247883}"
Minnesota,MN,34121.48,1186.67,16158.7,8736.08,25141.09,2144.36,950.43,14696.21,15091.23,52.58,246.31,59262.57,0.575767808,0.020023938,0.272662829,0.147413114,0.424232192,0.036184053,0.01603761,0.247984689,0.254650279,0.000887238,0.004156249,1,1717077,1484065,3277171,0.523950993,0.452849424,20702.77957,8194.709677,97178.95699,50511.25269,1835.908602,984.3581838,8.123655914,50419.0436,0.143378906,2.420205291,0.00038295,3.26E-05,143.3789055,50419043.6,356277,0.001404883,2881141,0.011361009,265438,0.001046684,237090,0.000934901,20310,8.01E-05,12250,11,No state-level incentive,0,"Net metering or optional Value of Solar tariff, sales tax exemption",2178.434675,170.525,200.18,11607.77,13621.716,66.033,85.181,4470.198,5757.615,15.69,15.852,1026.64,1035.042,252.248,301.213,17104.61,20414.37,0.005196731,0.00354406,0.005447379,0.003696638,29.655,2013.946,0.007538039,"{'1000-9999': 0.8435384201632933, '10000-14999': 0.8938551471266942, '15000-19999': 0.8747928827092045, '20000-24999': 0.8747928827092045, '25000-29999': 0.7737917345932455, '30000-34999': 0.7728404369022812, '35000-39999': 0.7652177762706706, '40000-44999': 0.7709512694547459, '45000-49999': 0.7419651068766012, '50000-59999': 0.7533302787246776, '60000-74999': 0.6516068754218958, '75000-99999': 0.6483433495094084, '100000-124999': 0.5726898398561492, '125000-149999': 0.5759899810852305, '150000-199999': 0.4777000631978611, '200000-10000000': 0.4790126017149218}","{'1000-9999': 0.30768650411761406, '10000-14999': 0.08546308225805224, '15000-19999': 0.06214804074910766, '20000-24999': 0.06214804074910766, '25000-29999': 0.053855860277146575, '30000-34999': 0.04443799804235699, '35000-39999': 0.037181819423701856, '40000-44999': 0.03242514176198418, '45000-49999': 0.02947562756888254, '50000-59999': 0.022535018964836378, '60000-74999': 0.02138626524992561, '75000-99999': 0.016606671889231924, '100000-124999': 0.014521034510359162, '125000-149999': 0.01175990341007398, '150000-199999': 0.011266408151328785, '200000-10000000': 0.0007784118893372791}"
